id,produto,quantidade,preço,data
1,Lavadora,4,568,18/03/2024
2,Microondas,1,668,09/05/2024
3,Geladeira,1,607,13/01/2024
4,Geladeira,9,1614,25/06/2024
5,Geladeira,7,3112,23/11/2024
6,Lavadora,4,150,09/11/2024
7,Geladeira,10,2483,21/10/2024
8,Fogão,8,2893,26/08/2024
9,Fogão,9,330,12/11/2024
10,Microondas,3,4254,25/06/2024
11,Secadora,1,2133,16/09/2024
12,Cafeteira,7,227,30/06/2024
13,Secadora,2,2394,24/05/2024
14,Fogão,8,3845,29/07/2024
15,Geladeira,6,2331,11/05/2024
16,Geladeira,1,2737,30/01/2024
17,Lavadora,4,984,16/05/2024
18,Lavadora,8,329,06/09/2024
19,Lavadora,6,4494,16/09/2024
20,Secadora,10,1250,07/10/2024
21,Microondas,10,4397,27/05/2024
22,Geladeira,10,4643,15/04/2024
23,Geladeira,1,4345,17/06/2024
24,Geladeira,5,516,14/05/2024
25,Geladeira,2,260,03/10/2024
26,Cafeteira,8,3987,22/01/2024
27,Lavadora,7,519,16/10/2024
28,Lavadora,4,1629,10/05/2024
29,Cafeteira,8,868,30/04/2024
30,Cafeteira,6,4491,19/12/2024
31,Secadora,1,4408,11/10/2024
32,Secadora,2,3042,20/07/2024
33,Fogão,7,2670,01/03/2024
34,Fogão,8,3777,08/03/2024
35,Geladeira,2,133,30/08/2024
36,Secadora,6,974,03/09/2024
37,Fogão,2,1320,11/07/2024
38,Cafeteira,1,1337,18/08/2024
39,Cafeteira,2,239,29/09/2024
40,Secadora,8,452,21/02/2024
41,Geladeira,9,3867,01/05/2024
42,Fogão,6,120,19/06/2024
43,Fogão,4,2092,03/01/2024
44,Cafeteira,8,845,19/01/2024
45,Geladeira,5,3163,31/01/2024
46,Microondas,10,2475,13/07/2024
47,Cafeteira,1,2776,11/11/2024
48,Cafeteira,1,2532,28/08/2024
49,Cafeteira,2,1170,29/03/2024
50,Lavadora,7,4822,27/04/2024
51,Geladeira,4,2958,01/11/2024
52,Geladeira,3,2939,24/02/2024
53,Fogão,4,4633,02/10/2024
54,Secadora,4,2847,08/08/2024
55,Secadora,6,3772,29/11/2024
56,Microondas,6,2761,11/07/2024
57,Fogão,1,4101,31/07/2024
58,Secadora,10,3644,06/08/2024
59,Cafeteira,8,821,20/12/2024
60,Geladeira,7,4195,26/05/2024
